text,type,urgency,tone
"Уважаемые акционеры, сообщаем о проведении годового общего собрания акционеров 25 марта 2026 года в головном офисе Банка. Материалы к собранию будут доступны с 1 марта 2026 года.",Notification or Information,Medium,Strictly Official
Просим согласовать изменение тарифного плана по договору №№ПР-926 от 20.02.2025.,Approval Request,High,Client-Oriented
Просим подтвердить подлинность предоставленной клиентом банковской гарантии №БГ-789 от 01.11.2025 и направить официальное подтверждение ее действительности.,Information/Document Request,High,Strictly Official
Добрый день! Подготовили черновик пресс-релиза о запуске нового мобильного приложения. Прошу проверить текст на соответствие корпоративным стандартам и утвердить для распространения в СМИ. Особое внимание уделили разделу о преимуществах для клиентов.,Approval Request,High,Client-Oriented
Добрый день! Для участия в тендере нужна справка об оборотах по счету за последние 6 месяцев. Можете подготовить?,Information/Document Request,Medium,Client-Oriented
"В целях проведения проверки соблюдения требований Федерального закона № 353-ФЗ ""О потребительском кредите"" запрашиваем выборочные кредитные досье по 50 договорам потребительского кредитования, заключенным в период с 01.07.2025 по 30.09.2025.",Regulatory Request,High,Strictly Official
"Уважаемые сотрудники, информируем о проведении обязательного обучения по информационной безопасности с 15 по 20 декабря 2025 года. Курс доступен в системе дистанционного обучения. Прохождение обязательно для всех сотрудников.",Notification or Information,High,Business Corporate
Просим подтвердить наличие и предоставить реквизиты действующих лицензий Банка на осуществление банковских операций.,Information/Document Request,Medium,Business Corporate
"Уважаемый Алексей Викторович, просим согласовать бюджет на проведение корпоративного тимбилдинга для сотрудников департамента розничного бизнеса. Мероприятие запланировано на 25-26 января 2026 года в подмосковном отеле. Общая стоимость - 1 200 000 рублей.",Approval Request,Low,Business Corporate
Привет! Мы запускаем новый fintech-проект для молодых предпринимателей и ищем банк-партнера для совместного развития экосистемы. Можем предложить эксклюзивный доступ к аудитории 25-35 лет через наши digital-каналы. Давайте обсудим синергию?,Partnership Proposal,Low,Client-Oriented
Выражаем крайнее недовольство качеством обслуживания. Регулярные сбои в системе ДБО приводят к срыву платежей.,Official Complaint or Claim,High,Business Corporate
Просим согласовать выдачу банковской гарантии №№Д-295 от 20.01.2024 на сумму 83 232 рублей.,Approval Request,Low,Business Corporate
"В соответствии с Положением Банка России № 683-П от 17.08.2023 и Указанием № 5348-У от 18.03.2025 запрашиваем информацию о проведенных валютных операциях резидентов с нерезидентами на сумму, эквивалентную превышающую 200 000 USD, за ноябрь 2025 года.",Regulatory Request,High,Strictly Official
Настоящим сообщаем о неоднократном несанкционированном списании средств с нашего корпоративного счета №40702810500000012345 в период с 15.11.2025 по 25.11.2025 на общую сумму 45 780 рублей. Требуем немедленного разбирательства и возврата средств в течение 3 рабочих дней.,Official Complaint or Claim,High,Strictly Official
Настоящим сообщаем о несанкционированном списании средств с нашего счета №40701810693676320163 в период с 29.06.2024 по 10.10.2024 на сумму 35 954 рублей. Требуем расследования и возврата средств.,Official Complaint or Claim,Medium,Business Corporate
Просим согласовать изменение тарифного плана по договору №№ПР-600 от 20.06.2024.,Approval Request,Medium,Strictly Official
"Уважаемый руководитель отделения, вынуждены обратиться с жалобой на качество расчетно-кассового обслуживания. Операции по валютным платежам регулярно задерживаются на 2-3 рабочих дня без объяснения причин.",Official Complaint or Claim,Medium,Business Corporate
Просим согласовать выдачу банковской гарантии №№ПР-945 от 29.08.2025 на сумму 85 490 рублей.,Approval Request,Medium,Strictly Official
СРОЧНО! Предлагаем совместную маркетинговую акцию для привлечения новых корпоративных клиентов. Ждем контактов для обсуждения.,Partnership Proposal,Medium,Business Corporate
"Уважаемый директор по маркетингу, медиахолдинг ""Деловые СМИ"" предлагает эксклюзивное информационное партнерство на 2026 год. В пакет входит: размещение экспертных материалов, организация круглых столов, спецпроекты в 5 федеральных изданиях. Аудитория охвата - 2 млн+.",Partnership Proposal,Medium,Business Corporate
"СРОЧНО! Требуем предоставить справки о движении средств по расчетному счету ООО ""Вектор"" за 2023 год в течение 2 рабочих дней.",Information/Document Request,High,Strictly Official
Необходимо утвердить предоставление овердрафта в размере 64 444 рублей на срок 6 месяцев. Просим рассмотреть вопрос в приоритетном порядке.,Approval Request,Low,Strictly Official
Информируем о временной приостановке обслуживания по причине плановых работ в системе ДБО 01.12.2025.,Notification or Information,Medium,Business Corporate
Настоящим направляем на согласование проект дополнительного соглашения №2 к договору банковского обслуживания №Д-789 от 12.03.2024. Изменения касаются порядка предоставления выписок в электронном виде. Просим рассмотреть в течение 10 рабочих дней.,Approval Request,Medium,Strictly Official
Привет! Мы запускаем новый fintech-проект для молодых предпринимателей и ищем банк-партнера для совместного развития экосистемы. Можем предложить эксклюзивный доступ к аудитории 25-35 лет через наши digital-каналы. Давайте обсудим синергию?,Partnership Proposal,Low,Client-Oriented
Неприемлемое поведение сотрудника Иванова А.С. при оформлении документов. Просим принять меры.,Official Complaint or Claim,Medium,Client-Oriented
В соответствии с п. 3.4 Договора №БС-5678 от 10.09.2024 просим предоставить отчет о состоянии задолженности и начисленных процентах по состоянию на 25.11.2025.,Information/Document Request,Medium,Business Corporate
"СРОЧНО! Требуем предоставить справки о движении средств по расчетному счету АО ""Мегабанк"" за 2023 год в течение 2 рабочих дней.",Information/Document Request,Low,Client-Oriented
Для оформления визы руководителю нужна справка о наличии средств на счете компании. Можно получить в отделении?,Information/Document Request,Low,Client-Oriented
"На основании действующего законодательства просим направить документы и сведения, подтверждающие операции по счету №40702810658202970213 за период 22.10.2025 - 08.12.2025. Просим рассмотреть вопрос в приоритетном порядке.",Regulatory Request,Medium,Client-Oriented
Просим подтвердить наличие и предоставить реквизиты действующих лицензий Банка на осуществление банковских операций.,Information/Document Request,Medium,Strictly Official
"Добрый день! Мы представляем платформу для корпоративного обучения ""ProEducation"" и хотели бы предложить банку специальные условия для сотрудников. В нашем каталоге более 500 курсов по финансам, менеджменту и digital-навыкам. Готовы организовать пробный период для оценки эффективности.",Partnership Proposal,Low,Client-Oriented
Просим согласовать выдачу банковской гарантии №№ПР-614 от 26.02.2024 на сумму 136 817 рублей.,Approval Request,High,Strictly Official
"В соответствии с Указанием Банка России № 5036-У от 25.12.2024 ""О перечне информации о деятельности кредитной организации, подлежащей раскрытию"" требуем представления ежеквартальной отчетности по форме 0420150 ""Отчет о качестве активов"" за III квартал 2025 года.",Regulatory Request,High,Strictly Official
Добрый день! Подготовили сценарий ролика для соцсетей о карте с кэшбэком. Прошу согласовать концепцию и текст. Особенно важно утвердить раздел про условия начисления бонусов.,Approval Request,Low,Client-Oriented
Выражаем серьезную озабоченность работой вашего call-центра. Сотрудники некомпетентны в вопросах корпоративного обслуживания и не могут решить элементарные вопросы без многократных переключений.,Official Complaint or Claim,Low,Business Corporate
"Мне очень неприятно писать эту жалобу, но я больше не могу молчать! Третий месяц не могу получить страховое возмещение по кредиту, хотя все документы предоставлены. Ваши сотрудники постоянно перенаправляют меня из отдела в отдел.",Official Complaint or Claim,Medium,Client-Oriented
Сообщаем об изменении лимитов на бесплатное снятие наличных в банкоматах партнеров. С 1 декабря 2025 года действует новый лимит - 100 000 рублей в месяц. В банкоматах Банка лимиты не изменились.,Notification or Information,Medium,Client-Oriented
Уведомляем о грубом нарушении конфиденциальности: предоставление выписок без надлежащего оформления. Требуем служебной проверки.,Official Complaint or Claim,High,Strictly Official
"На основании п. 4.7 Указания Банка России № 3609-У от 25.04.2025 ""О порядке раскрытия информации эмитентами эмиссионных ценных бумаг"" просим предоставить сведения о всех выпусках облигаций, размещенных Банком в 2025 году, и отчеты об итогах выпусков.",Regulatory Request,Medium,Strictly Official
Направляем на согласование проект изменения в регламент внутреннего контроля по противодействию отмыванию доходов. Обновления вызваны вступлением в силу новых указаний Банка России №... Просим утвердить до 25.12.2025.,Approval Request,High,Strictly Official
"Уважаемый Алексей Викторович, просим согласовать бюджет на проведение корпоративного тимбилдинга для сотрудников департамента розничного бизнеса. Мероприятие запланировано на 25-26 января 2026 года в подмосковном отеле. Общая стоимость - 1 200 000 рублей.",Approval Request,Low,Business Corporate
"Уважаемые партнеры, предлагаем сотрудничество в рамках программы лояльности для корпоративных клиентов Банка. Наша платформа позволяет интегрировать накопление и списание бонусов across каналы. Уже работаем с 15+ крупными компаниями в РФ.",Partnership Proposal,Medium,Business Corporate
"Настоящим уведомляем о завершении срока действия акции ""Кэшбэк 5%"" по картам ""Премиум"". С 1 января 2026 года действуют новые условия программы лояльности, с которыми можно ознакомиться на сайте банка.",Notification or Information,Medium,Client-Oriented
"На основании Указания Банка России № 5342-У от 12.03.2024 ""О перечне, формах и порядке составления и представления форм отчетности кредитных организаций в Банк России"" требуем представления исправленной отчетности по форме 0409135 ""Данные о рисках концентрции"" за октябрь 2025 года до 28.11.2025.",Regulatory Request,High,Strictly Official
Настоящим сообщаем о несанкционированном списании средств с нашего счета №40802810191361939909 в период с 24.03.2024 по 17.05.2024 на сумму 70 629 рублей. Требуем расследования и возврата средств.,Official Complaint or Claim,High,Business Corporate
Просим согласовать изменение тарифного плана по договору №№Д-863 от 06.03.2024.,Approval Request,High,Strictly Official
В связи с расширением сети предлагаем банку рассмотреть сотрудничество по зарплатному проекту для сотрудников нашей компании.,Partnership Proposal,Low,Strictly Official
"Просим направить заверенные надлежащим образом копии учредительных документов Банка, а также свидетельства о государственной регистрации.",Information/Document Request,Medium,Strictly Official
СРОЧНО! Заявляем претензию о нарушении условий Договора №ПР-526 от 24.07.2025. Требуем устранения последствий и компенсации.,Official Complaint or Claim,High,Strictly Official
Просим согласовать изменение тарифного плана по договору №№БС-431 от 21.12.2025. Просим рассмотреть вопрос в приоритетном порядке.,Approval Request,High,Client-Oriented
СРОЧНО! Информируем о временной приостановке обслуживания по причине плановых работ в системе ДБО 01.12.2025.,Notification or Information,High,Strictly Official
Настоящим направляем на согласование график отпусков сотрудников операционного офиса на I квартал 2026 года. Документ составлен с учетом требований к минимальной численности сотрудников в рабочее время. Просим утвердить до 20.12.2025.,Approval Request,Medium,Strictly Official
Выражаем серьезную озабоченность работой вашего call-центра. Сотрудники некомпетентны в вопросах корпоративного обслуживания и не могут решить элементарные вопросы без многократных переключений.,Official Complaint or Claim,Low,Business Corporate
"На основании п. 4.7 Указания Банка России № 3609-У от 25.04.2025 ""О порядке раскрытия информации эмитентами эмиссионных ценных бумаг"" просим предоставить сведения о всех выпусках облигаций, размещенных Банком в 2025 году, и отчеты об итогах выпусков.",Regulatory Request,Medium,Strictly Official
"На основании п. 7.3 Положения Банка России № 683-П от 17.08.2023 ""О порядке представления кредитными организациями информации в Банк России"" просим представить сведения о всех операциях с наличными денежными средствами на сумму свыше 600 000 рублей, совершенных клиентами - юридическими лицами за II квартал 2025 года, до 15.12.2025 включительно.",Regulatory Request,High,Strictly Official
"Уважаемые коллеги, просим предоставить выписки по счету №40702810500000012345 за период с 01.01.2025 по 31.03.2025 для подготовки квартальной отчетности.",Information/Document Request,Medium,Business Corporate
"Добрый день! Event-агентство ""Премиум Сервис"" предлагает организацию корпоративного новогоднего мероприятия для сотрудников Банка. Разработали эксклюзивную программу на 500 человек с топовыми артистами и премиальным кейтерингом. Сроки планирования - до 15 декабря.",Partnership Proposal,High,Client-Oriented
Заявляем претензию о нарушении условий Договора №БГ-303 от 28.01.2025. Требуем устранения последствий и компенсации.,Official Complaint or Claim,Medium,Strictly Official
"Настоящим обращаемся с просьбой согласовать изменение тарифной сетки по расчетно-кассовому обслуживанию для малого бизнеса. Предлагается введение нового пакета ""Стартовый"" с месячным обслуживанием 500 рублей и увеличение лимита на бесплатные операции. Прилагаем экономическое обоснование.",Approval Request,Medium,Strictly Official
Настоящим направляем на согласование график отпусков сотрудников операционного офиса на I квартал 2026 года. Документ составлен с учетом требований к минимальной численности сотрудников в рабочее время. Просим утвердить до 20.12.2025.,Approval Request,Medium,Strictly Official
"На основании Регламента ЦБ РФ №xxx-П запрашиваем информацию о всех действующих корпоративных картах, привязанных к расчетному счету ООО ""ТехноПром"".",Information/Document Request,High,Strictly Official
"Уважаемые коллеги, просим предоставить выписки по счету №40701810169284511544 за период с 01.04.2025 по 18.06.2025 для подготовки отчетности.",Information/Document Request,High,Strictly Official
"Уважаемый Михаил Владимирович, предлагаем рассмотреть возможность эксклюзивного партнерства с сетью бизнес-лаунжей в аэропортах Шереметьево, Домодедово и Внуково. Можем предоставить привилегии для ваших премиальных клиентов: отдельные зоны, персональный консьерж, переговорные комнаты.",Partnership Proposal,Low,Business Corporate
"Уважаемые клиенты, информируем о временном ограничении приема документов на оформление ипотечных кредитов с 25 по 31 декабря 2025 года в связи с проведением годового закрытия. С 10 января 2026 года прием документов возобновится.",Notification or Information,Medium,Client-Oriented
"Доводим до сведения информацию о новых условиях тарификации, вступающих в силу с 03.07.2025.",Notification or Information,High,Strictly Official
"Уважаемые коллеги! Компания ""ТехноИнновации"" предлагает рассмотреть возможность интеграции нашей платформы для скоринга малого бизнеса на основе AI с вашей системой кредитования. Это позволит сократить время рассмотрения заявок на 40% и повысить точность оценки рисков. Готовы предоставить демо-доступ и обсудить условия партнерства.",Partnership Proposal,Medium,Business Corporate
"Уважаемые сотрудники, информируем о проведении обязательного обучения по информационной безопасности с 15 по 20 декабря 2025 года. Курс доступен в системе дистанционного обучения. Прохождение обязательно для всех сотрудников.",Notification or Information,High,Business Corporate
"В рамках мониторинга соблюдения требований к капиталу на основании Базеля III и Указания Банка России № 4924-У от 09.02.2025 запрашиваем детализированный расчет коэффициентов достаточности капитала (H1.0, H1.1, H1.2) по состоянию на конец каждого месяца 2025 года.",Regulatory Request,Medium,Strictly Official
Пишу с огромным разочарованием! Ваш сотрудник в отделении на Ленинском проспекте нагрубил мне при попытке оформить кредитную карту. Такое отношение к клиентам недопустимо!,Official Complaint or Claim,Medium,Client-Oriented
"Настоящим обращаемся с просьбой согласовать изменение тарифной сетки по расчетно-кассовому обслуживанию для малого бизнеса. Предлагается введение нового пакета ""Стартовый"" с месячным обслуживанием 500 рублей и увеличение лимита на бесплатные операции. Прилагаем экономическое обоснование.",Approval Request,Medium,Strictly Official
"СРОЧНО! На основании ст. 76 НК РФ требуем предоставить справки о движении средств по расчетному счету ООО ""Вектор"" за 2024 год в течение 2 рабочих дней.",Information/Document Request,High,Strictly Official
"В соответствии с Указанием Банка России № 5036-У от 25.12.2024 ""О перечне информации о деятельности кредитной организации, подлежащей раскрытию"" требуем представления ежеквартальной отчетности по форме 0420150 ""Отчет о качестве активов"" за III квартал 2025 года.",Regulatory Request,High,Strictly Official
"Уважаемые клиенты, информируем о временном ограничении приема документов на оформление ипотечных кредитов с 25 по 31 декабря 2025 года в связи с проведением годового закрытия. С 10 января 2026 года прием документов возобновится.",Notification or Information,Medium,Client-Oriented
"Уважаемые коллеги! Компания ""ТехноИнновации"" предлагает рассмотреть возможность интеграции нашей платформы для скоринга малого бизнеса на основе AI с вашей системой кредитования. Это позволит сократить время рассмотрения заявок на 40% и повысить точность оценки рисков. Готовы предоставить демо-доступ и обсудить условия партнерства.",Partnership Proposal,Medium,Business Corporate
"Уважаемые коллеги, информируем о проведении ежегодного технического аудита IT-инфраструктуры Банка в период с 15 по 19 декабря 2025 года. Работы не повлияют на обслуживание клиентов и функционирование критических систем.",Notification or Information,Low,Business Corporate
"Уважаемые коллеги, информируем о проведении плановых учений по действиям в чрезвычайных ситуациях 15 декабря 2025 года с 14:00 до 16:00. Просим отнестись с пониманием к временным неудобствам.",Notification or Information,Low,Business Corporate
"На основании п. 3.12 Положения Банка России № 646-П от 06.07.2023 ""О порядке ведения кассовых операций"" просим представить отчет о работе с наличными денежными средствами и инкассации за IV квартал 2025 года, включая сведения о инкассационных маршрутах.",Regulatory Request,Medium,Strictly Official
"Уважаемые коллеги, просим согласовать участие банка в качестве спонсора ежегодной конференции ""Финансы будущего"" с бюджетом 3 500 000 рублей. В пакет входит: размещение логотипа, выступление спикера, стенд. Конференция пройдет 15-16 февраля 2026.",Approval Request,Medium,Business Corporate
"На основании ст. 8 Федерального закона № 115-ФЗ и Инструкции Банка России № 194-И от 28.09.2022 ""О порядке представления кредитными организациями в уполномоченный орган сведений, предусмотренных Федеральным законом"" требуем представления сведений о операциях, подлежащих обязательному контролю, за октябрь 2025 года до 05.12.2025.",Regulatory Request,High,Strictly Official
Просим выслать заверенные копии отчетов и реестров по корпоративным картам в рамках проверки регулятора.,Regulatory Request,High,Client-Oriented
Выражаем крайнее недовольство качеством обслуживания. Регулярные сбои в системе ДБО приводят к срыву платежей.,Official Complaint or Claim,Medium,Business Corporate
Информируем о временной приостановке обслуживания по причине плановых работ в системе ДБО 01.12.2025.,Notification or Information,Medium,Strictly Official
"Уважаемые коллеги, направляем на согласование макет рекламного буклета по ипотечным продуктам для корпоративных клиентов. В материалах использован актуальный брендбук банка, указаны текущие процентные ставки и условия. Просим утвердить дизайн и контент до 20.12.2025 для запуска в печать.",Approval Request,Medium,Business Corporate
Просим согласовать выдачу банковской гарантии №№Д-750 от 20.04.2025 на сумму 171 194 рублей.,Approval Request,High,Client-Oriented
"В целях проведения проверки соблюдения требований Федерального закона № 353-ФЗ ""О потребительском кредите"" запрашиваем выборочные кредитные досье по 50 договорам потребительского кредитования, заключенным в период с 01.07.2025 по 30.09.2025.",Regulatory Request,High,Strictly Official
В соответствии с требованиями регулятора направляем запрос на предоставление отчетности по валютным операциям за 2023 год. Просим рассмотреть вопрос в приоритетном порядке.,Regulatory Request,Medium,Strictly Official
Необходимо утвердить предоставление овердрафта в размере 121 965 рублей на срок 6 месяцев.,Approval Request,High,Strictly Official
"Уважаемые клиенты, информируем вас о плановых работах в системе интернет-банка, которые будут проводиться 28 ноября 2025 года с 03:00 до 05:00 по московскому времени. В этот период возможны временные ограничения в работе сервиса. Приносим извинения за возможные неудобства.",Notification or Information,Low,Client-Oriented
"Уважаемые коллеги, выражаем крайнюю озабоченность качеством обслуживания нашего расчетного счета. В течение месяца фиксируем регулярные сбои в работе системы дистанционного банковского обслуживания, что приводит к срыву сроков платежей.",Official Complaint or Claim,Medium,Business Corporate
"Добрый день! Компания ""КиберБезопасность"" специализируется на защите финансовых транзакций и предлагает внедрение системы мониторинга мошеннических операций в реальном времени. Наше решение снижает fraud-потери на 60%. Готовы провести презентацию для вашей безопасности.",Partnership Proposal,High,Business Corporate
Необходимо утвердить предоставление овердрафта в размере 85 830 рублей на срок 6 месяцев.,Approval Request,Medium,Business Corporate
Заявляем претензию о нарушении условий Договора №БС-916 от 18.02.2025. Требуем устранения последствий и компенсации.,Official Complaint or Claim,Medium,Strictly Official
"В соответствии с Положением Банка России № 683-П от 17.08.2023 и Указанием № 5348-У от 18.03.2025 запрашиваем информацию о проведенных валютных операциях резидентов с нерезидентами на сумму, эквивалентную превышающую 200 000 USD, за ноябрь 2025 года.",Regulatory Request,High,Strictly Official
