text,type,urgency,tone
"Здравствуйте! Помогите, пожалуйста, получить копию договора банковского обслуживания №Д-234 от 15.02.2024. Потеряли оригинал при переезде офиса.",Information/Document Request,Low,Client-Oriented
Уведомляем о грубом нарушении конфиденциальности: предоставление выписок без надлежащего оформления. Требуем служебной проверки.,Official Complaint or Claim,Low,Business Corporate
Информируем о временной приостановке обслуживания по причине плановых работ в системе ДБО 01.12.2025.,Notification or Information,High,Client-Oriented
В соответствии с п. 3.4 Договора №БС-5678 от 10.09.2024 просим предоставить отчет о состоянии задолженности и начисленных процентах по состоянию на 25.11.2025.,Information/Document Request,Medium,Business Corporate
Привет! Наш отдел подготовил новый шаблон ответов на частые вопросы клиентов в чат-боте. Можете проверить и согласовать? Особенно важны формулировки по вопросам блокировок карт.,Approval Request,Medium,Client-Oriented
Добрый день! Для участия в тендере нужна справка об оборотах по счету за последние 6 месяцев. Можете подготовить?,Information/Document Request,Medium,Client-Oriented
"Уважаемые коллеги, просим согласовать кандидатуру Ивановой Марии Сергеевны на должность руководителя отдела развития цифровых продуктов. Кандидат имеет 8-летний опыт работы в fintech и соответствует всем требованиям вакансии. Резюме прилагается.",Approval Request,Medium,Business Corporate
Здравствуйте! Помогите получить копию договора банковского обслуживания №БС-716 от 05.06.2025.,Information/Document Request,Medium,Strictly Official
"Подскажите, как получить архивную выписку по закрытому счету за 2023?",Information/Document Request,High,Client-Oriented
В соответствии с требованиями регулятора направляем запрос на предоставление отчетности по валютным операциям за 2025 год. Просим рассмотреть вопрос в приоритетном порядке.,Regulatory Request,Medium,Strictly Official
"Просим направить заверенные надлежащим образом копии учредительных документов Банка, а также свидетельства о государственной регистрации.",Information/Document Request,Medium,Strictly Official
"Уважаемые коллеги, информируем о проведении плановых учений по действиям в чрезвычайных ситуациях 15 декабря 2025 года с 14:00 до 16:00. Просим отнестись с пониманием к временным неудобствам.",Notification or Information,Low,Business Corporate
В соответствии с требованиями регулятора направляем запрос на предоставление отчетности по валютным операциям за 2025 год.,Regulatory Request,High,Business Corporate
Для оформления визы руководителю нужна справка о наличии средств на счете компании. Можно получить в отделении?,Information/Document Request,Low,Client-Oriented
"Это уже третий раз, когда я сталкиваюсь с техническими проблемами в вашем мобильном приложении! Сегодня снова не проходили платежи, хотя деньги списывались. Терпение на исходе!",Official Complaint or Claim,Medium,Client-Oriented
Информируем о временной приостановке обслуживания по причине плановых работ в системе ДБО 01.12.2025.,Notification or Information,High,Strictly Official
Заявляем претензию о нарушении условий Договора №БС-539 от 02.11.2025. Требуем устранения последствий и компенсации. Просим рассмотреть вопрос в приоритетном порядке.,Official Complaint or Claim,Low,Business Corporate
Предлагаем обсудить партнерство по продукту корпоративного обслуживания. Готовы направить коммерческое предложение и провести встречу.,Partnership Proposal,Low,Business Corporate
"На основании Федерального закона № 59-ФЗ ""О порядке рассмотрения обращений граждан Российской Федерации"" и в рамках обработки жалобы клиента И.П. Сидорова А.В. просим предоставить копию договора банковского счета № ДБС-789456 от 15.03.2024 и всю переписку с клиентом по вопросам обслуживания.",Regulatory Request,Medium,Strictly Official
"Уважаемый руководитель, просим согласовать закупку 50 ноутбуков для сотрудников нового филиала. Выбрана модель Dell Latitude 5540 как оптимальная по соотношению цена/качество. Общая стоимость закупки - 7 500 000 рублей. Коммерческое предложение прилагается.",Approval Request,High,Business Corporate
Предлагаем обсудить партнерство по продукту корпоративного обслуживания. Готовы направить коммерческое предложение и провести встречу. Просим рассмотреть вопрос в приоритетном порядке.,Partnership Proposal,High,Business Corporate
"Уважаемый Алексей Петрович, обращаемся с предложением о стратегическом партнерстве в рамках подготовки к Восточному экономическому форуму-2026. Предлагаем совместно организовать бизнес-завтрак для представителей Дальневосточных компаний с фокусом на ваши продукты для экспортного финансирования.",Partnership Proposal,Medium,Business Corporate
Необходимо утвердить предоставление овердрафта в размере 181 532 рублей на срок 6 месяцев.,Approval Request,Medium,Strictly Official
Настоящим направляем предложение о сотрудничестве в области дистанционного биометрического идентификации клиентов. Наша технология прошла сертификацию ФСТЭК и позволяет снизить время открытия счета до 5 минут. Готовы к пилотному внедрению.,Partnership Proposal,Medium,Strictly Official
"В соответствии со ст. 309 ГК РФ, заявляем претензию о ненадлежащем исполнении обязательств по Договору №БС-789 от 05.02.2025. Банк не обеспечил своевременное зачисление средств от контрагента в срок, установленный договором.",Official Complaint or Claim,High,Strictly Official
"В рамках осуществления надзорных функций на основании ст. 73 Федерального закона № 86-ФЗ ""О Центральном банке Российской Федерации (Банке России)"" запрашиваем информацию о соблюдении обязательных нормативов по состоянию на 01.12.2025, а также расчет коэффициента мгновенной ликвидности (Н2).",Regulatory Request,High,Strictly Official
"Уважаемый руководитель, просим согласовать закупку 50 ноутбуков для сотрудников нового филиала. Выбрана модель Dell Latitude 5540 как оптимальная по соотношению цена/качество. Общая стоимость закупки - 7 500 000 рублей. Коммерческое предложение прилагается.",Approval Request,High,Business Corporate
Настоящим обращаемся с запросом на согласование проведения тестовых работ в системе ДБО в период с 28.12.2025 по 29.12.2025 с 02:00 до 06:00. Прилагаем план работ и оценку возможных рисков для клиентов.,Approval Request,High,Strictly Official
"В соответствии с Положением Банка России № 511-П от 28.12.2022 ""О порядке формирования кредитными организациями резервов на возможные потери"" требуем представления развернутой расшифровки резерва по ссудной задолженности категории качества V по состоянию на 25.11.2025.",Regulatory Request,High,Strictly Official
Уведомляем о грубом нарушении конфиденциальности: предоставление выписок без надлежащего оформления. Требуем служебной проверки. Просим рассмотреть вопрос в приоритетном порядке.,Official Complaint or Claim,High,Business Corporate
"Добрый день! Информируем о запуске нового раздела в мобильном приложении - ""Финансовая аналитика"". Теперь вы можете отслеживать статистику расходов и получать персональные рекомендации.",Notification or Information,Low,Client-Oriented
"Уважаемые коллеги, просим согласовать кандидатуру Ивановой Марии Сергеевны на должность руководителя отдела развития цифровых продуктов. Кандидат имеет 8-летний опыт работы в fintech и соответствует всем требованиям вакансии. Резюме прилагается.",Approval Request,Medium,Business Corporate
Добрый день! Подготовили черновик пресс-релиза о запуске нового мобильного приложения. Прошу проверить текст на соответствие корпоративным стандартам и утвердить для распространения в СМИ. Особое внимание уделили разделу о преимуществах для клиентов.,Approval Request,High,Client-Oriented
"Я в шоке от обслуживания! При оформлении ипотеки мне навязали ненужную страховку на 50 000 рублей, сказав, что это обязательное условие. Теперь выяснилось, что это было необязательно!",Official Complaint or Claim,High,Client-Oriented
Добрый день! Подготовили сценарий ролика для соцсетей о карте с кэшбэком. Прошу согласовать концепцию и текст. Особенно важно утвердить раздел про условия начисления бонусов.,Approval Request,Low,Client-Oriented
СРОЧНО! Предлагаем обсудить партнерство по продукту корпоративного обслуживания. Готовы направить коммерческое предложение и провести встречу.,Partnership Proposal,Low,Business Corporate
"Уважаемые акционеры, сообщаем о проведении годового общего собрания акционеров 25 марта 2026 года в головном офисе Банка. Материалы к собранию будут доступны с 1 марта 2026 года.",Notification or Information,Medium,Strictly Official
"Настоящим запрашиваем копии первичных документов по операциям от 12.11.2025: платежных поручений, мемориальных ордеров для проведения внутренней проверки.",Information/Document Request,High,Strictly Official
Здравствуйте! Помогите получить копию договора банковского обслуживания №Д-471 от 10.11.2024.,Information/Document Request,High,Client-Oriented
"Я очень расстроен! Вчера при попытке снять деньги с карты ************5678 банкомат вашего банка ""съел"" карту. Сотрудники в отделении не смогли помочь и сказали ждать 10 дней. Это совершенно неприемлемо!",Official Complaint or Claim,High,Client-Oriented
Просим выслать заверенные копии отчетов и реестров по корпоративным картам в рамках проверки регулятора.,Regulatory Request,Low,Client-Oriented
Настоящим уведомляем о вступлении в силу с 01.01.2026 новых тарифов на расчетно-кассовое обслуживание юридических лиц. Изменения обусловлены текущей рыночной ситуацией и направлены на повышение качества обслуживания. Актуальные тарифы доступны в личном кабинете.,Notification or Information,Medium,Business Corporate
"На основании ст. 8 Федерального закона № 115-ФЗ и Инструкции Банка России № 194-И от 28.09.2022 ""О порядке представления кредитными организациями в уполномоченный орган сведений, предусмотренных Федеральным законом"" требуем представления сведений о операциях, подлежащих обязательному контролю, за октябрь 2025 года до 05.12.2025.",Regulatory Request,High,Strictly Official
СРОЧНЫЙ ЗАПРОС! Для предотвращения мошеннической операции требуется предоставить подтверждающие документы по последним 5 операциям по карте ************1234.,Information/Document Request,High,Client-Oriented
"На основании ст. 26.1 Федерального закона № 161-ФЗ ""О национальной платежной системе"" и Указания Банка России № 4998-У от 14.11.2024 просим представить отчет об инцидентах в информационных системах за IV квартал 2025 года, а также план мероприятий по их недопущению.",Regulatory Request,Medium,Strictly Official
Уведомляем о смене расчетного счета: новый счет №40802810047277901043. Просьба обновить реквизиты. Просим рассмотреть вопрос в приоритетном порядке.,Notification or Information,Medium,Business Corporate
В связи с расширением сети предлагаем банку рассмотреть сотрудничество по зарплатному проекту для сотрудников нашей компании.,Partnership Proposal,Medium,Strictly Official
В связи с расширением сети предлагаем банку рассмотреть сотрудничество по зарплатному проекту для сотрудников нашей компании. Просим рассмотреть вопрос в приоритетном порядке.,Partnership Proposal,Medium,Business Corporate
"На основании п. 7.3 Положения Банка России № 683-П от 17.08.2023 ""О порядке представления кредитными организациями информации в Банк России"" просим представить сведения о всех операциях с наличными денежными средствами на сумму свыше 600 000 рублей, совершенных клиентами - юридическими лицами за II квартал 2025 года, до 15.12.2025 включительно.",Regulatory Request,High,Strictly Official
"В рамках мониторинга соблюдения требований к капиталу на основании Базеля III и Указания Банка России № 4924-У от 09.02.2025 запрашиваем детализированный расчет коэффициентов достаточности капитала (H1.0, H1.1, H1.2) по состоянию на конец каждого месяца 2025 года.",Regulatory Request,Medium,Strictly Official
"В соответствии с Положением Банка России № 511-П от 28.12.2022 ""О порядке формирования кредитными организациями резервов на возможные потери"" требуем представления развернутой расшифровки резерва по ссудной задолженности категории качества V по состоянию на 25.11.2025.",Regulatory Request,High,Strictly Official
Просим подтвердить наличие и предоставить реквизиты действующих лицензий Банка на осуществление банковских операций.,Information/Document Request,High,Strictly Official
"Уважаемые клиенты, информируем вас о плановых работах в системе интернет-банка, которые будут проводиться 28 ноября 2025 года с 03:00 до 05:00 по московскому времени. В этот период возможны временные ограничения в работе сервиса. Приносим извинения за возможные неудобства.",Notification or Information,Low,Client-Oriented
Уведомляем о грубом нарушении конфиденциальности: предоставление выписок без надлежащего оформления. Требуем служебной проверки.,Official Complaint or Claim,High,Strictly Official
"Настоящим уведомляем о систематическом нарушении сроков обработки инкассовых поручений. За последний квартал зафиксировано 12 случаев задержек от 3 до 5 рабочих дней, что наносит существенный ущерб нашей деятельности.",Official Complaint or Claim,Medium,Strictly Official
"Уважаемые партнеры, предлагаем сотрудничество в рамках программы лояльности для корпоративных клиентов Банка. Наша платформа позволяет интегрировать накопление и списание бонусов across каналы. Уже работаем с 15+ крупными компаниями в РФ.",Partnership Proposal,Medium,Business Corporate
Необходимо утвердить предоставление овердрафта в размере 176 494 рублей на срок 6 месяцев.,Approval Request,Medium,Business Corporate
Настоящим уведомляем о досрочном погашении облигационного займа серии БО-001Р-05 в полном объеме 25 декабря 2025 года. Средства будут перечислены владельцам облигаций в установленные сроки.,Notification or Information,Medium,Strictly Official
Настоящим уведомляем о вступлении в силу с 01.01.2026 новых тарифов на расчетно-кассовое обслуживание юридических лиц. Изменения обусловлены текущей рыночной ситуацией и направлены на повышение качества обслуживания. Актуальные тарифы доступны в личном кабинете.,Notification or Information,Medium,Business Corporate
СРОЧНО! Просим подтвердить наличие и предоставить реквизиты действующих лицензий Банка на осуществление банковских операций.,Information/Document Request,Low,Strictly Official
Настоящим уведомляем о вступлении в силу с 1 января 2026 года новой редакции Положения о порядке предоставления кредитов физическим лицам. Документ доступен для ознакомления во всех отделениях Банка и на официальном сайте.,Notification or Information,Medium,Strictly Official
СРОЧНО! Предлагаем обсудить партнерство по продукту корпоративного обслуживания. Готовы направить коммерческое предложение и провести встречу.,Partnership Proposal,High,Strictly Official
"Доводим до сведения информацию о новых условиях тарификации, вступающих в силу с 09.09.2024.",Notification or Information,High,Strictly Official
"Уважаемые коллеги, просим предоставить выписки по счету №40802810802620672400 за период с 01.11.2024 по 13.01.2025 для подготовки отчетности.",Information/Document Request,Medium,Business Corporate
"Просим принять меры в отношении менеджера Ивановой А.С., которая допустила грубые ошибки при оформлении документов на открытие филиала. В результате мы понесли финансовые потери и репутационный ущерб.",Official Complaint or Claim,Medium,Business Corporate
Уведомляем о грубом нарушении конфиденциальности: предоставление выписок без надлежащего оформления. Требуем служебной проверки.,Official Complaint or Claim,Medium,Client-Oriented
"На основании п. 2.5 Инструкции Банка России № 153-И от 05.12.2023 ""Об организации внутреннего контроля в кредитных организациях"" просим предоставить копии внутренних положений о системе управления рисками и протоколы заседаний комитета по рискам за 2025 год до 10.12.2025.",Regulatory Request,High,Strictly Official
"Добрый день! Event-агентство ""Премиум Сервис"" предлагает организацию корпоративного новогоднего мероприятия для сотрудников Банка. Разработали эксклюзивную программу на 500 человек с топовыми артистами и премиальным кейтерингом. Сроки планирования - до 15 декабря.",Partnership Proposal,High,Client-Oriented
Настоящим направляем предложение о сотрудничестве в области дистанционного биометрического идентификации клиентов. Наша технология прошла сертификацию ФСТЭК и позволяет снизить время открытия счета до 5 минут. Готовы к пилотному внедрению.,Partnership Proposal,Medium,Strictly Official
Просим согласовать изменение тарифного плана по договору №№ПР-257 от 15.06.2024.,Approval Request,Medium,Strictly Official
"Уважаемые партнеры, сообщаем о переезде департамента корпоративного бизнеса с 1 декабря 2025 года. Новый адрес: Москва, Пресненская наб., д. 12, башня ""Федерация"". Телефоны и контакты остаются без изменений.",Notification or Information,Low,Business Corporate
"Приветствуем! Digital-агентство ""ВебПрофи"" предлагает услуги по разработке и поддержке мобильного приложения банка. Наша экспертиза: 50+ успешных проектов для финансового сектора, включая ТОП-10 банков России. Прикладываем портфолио и коммерческое предложение.",Partnership Proposal,Medium,Client-Oriented
"Добрый день! Мы представляем платформу для корпоративного обучения ""ProEducation"" и хотели бы предложить банку специальные условия для сотрудников. В нашем каталоге более 500 курсов по финансам, менеджменту и digital-навыкам. Готовы организовать пробный период для оценки эффективности.",Partnership Proposal,Low,Client-Oriented
"Настоящим обращаемся с коммерческим предложением о заключении договора на поставку серверного оборудования для модернизации IT-инфраструктуры Банка. Являемся официальным партнером HP, Dell, Cisco в России и готовы предложить специальные условия для финансовых организаций.",Partnership Proposal,Medium,Strictly Official
"Можете прислать шаблоны заявлений на открытие счета, подключение интернет-банка и получение корпоративных карт?",Information/Document Request,Low,Business Corporate
Просим согласовать изменение тарифного плана по договору №№БГ-940 от 21.08.2024.,Approval Request,Medium,Business Corporate
"Добрый день! Компания ""КиберБезопасность"" специализируется на защите финансовых транзакций и предлагает внедрение системы мониторинга мошеннических операций в реальном времени. Наше решение снижает fraud-потери на 60%. Готовы провести презентацию для вашей безопасности.",Partnership Proposal,High,Business Corporate
Просим подтвердить наличие и предоставить реквизиты действующих лицензий Банка на осуществление банковских операций.,Information/Document Request,Low,Strictly Official
"Уважаемый Алексей Петрович, обращаемся с предложением о стратегическом партнерстве в рамках подготовки к Восточному экономическому форуму-2026. Предлагаем совместно организовать бизнес-завтрак для представителей Дальневосточных компаний с фокусом на ваши продукты для экспортного финансирования.",Partnership Proposal,Medium,Business Corporate
"Уважаемый руководитель департамента, направляем на согласование положение о дистанционном обслуживании корпоративных клиентов. Документ разработан в соответствии с требованиями ЦБ РФ и учитывает последние изменения в законодательстве. Просим рассмотреть до 18.12.2025.",Approval Request,High,Strictly Official
"Уважаемые коллеги, просим согласовать участие банка в качестве спонсора ежегодной конференции ""Финансы будущего"" с бюджетом 3 500 000 рублей. В пакет входит: размещение логотипа, выступление спикера, стенд. Конференция пройдет 15-16 февраля 2026.",Approval Request,Medium,Business Corporate
Просим согласовать изменение тарифного плана по договору №№ПР-265 от 23.07.2024.,Approval Request,Low,Business Corporate
"Уважаемый Михаил Владимирович, предлагаем рассмотреть возможность эксклюзивного партнерства с сетью бизнес-лаунжей в аэропортах Шереметьево, Домодедово и Внуково. Можем предоставить привилегии для ваших премиальных клиентов: отдельные зоны, персональный консьерж, переговорные комнаты.",Partnership Proposal,Low,Business Corporate
"В соответствии с ч. 5 ст. 76 Федерального закона № 115-ФЗ ""О противодействии легализации (отмыванию) доходов, полученных преступным путем"" направляем запрос о предоставлении информации по операциям клиента ООО ""ФинансТрейд"" за период с 01.09.2025 по 25.11.2025. Ответ необходимо направить в течение 5 рабочих дней.",Regulatory Request,High,Strictly Official
В соответствии с требованиями регулятора направляем запрос на предоставление отчетности по валютным операциям за 2025 год.,Regulatory Request,High,Strictly Official
"На основании п. 2.5 Инструкции Банка России № 153-И от 05.12.2023 ""Об организации внутреннего контроля в кредитных организациях"" просим предоставить копии внутренних положений о системе управления рисками и протоколы заседаний комитета по рискам за 2025 год до 10.12.2025.",Regulatory Request,High,Strictly Official
Выражаем крайнее недовольство качеством обслуживания. Регулярные сбои в системе ДБО приводят к срыву платежей.,Official Complaint or Claim,High,Business Corporate
Информируем об изменении реквизитов для валютных платежей в долларах США. С 10 декабря 2025 года действуют новые корреспондентские счета. Актуальная информация размещена на сайте банка.,Notification or Information,High,Business Corporate
СРОЧНЫЙ ЗАПРОС! Для предотвращения мошеннической операции требуется предоставить подтверждающие документы по последним 5 операциям по карте ************1234.,Information/Document Request,High,Client-Oriented
СРОЧНО! Предлагаем совместную маркетинговую акцию для привлечения новых корпоративных клиентов. Ждем контактов для обсуждения. Просим рассмотреть вопрос в приоритетном порядке.,Partnership Proposal,Medium,Business Corporate
"Здравствуйте! Помогите, пожалуйста, получить копию договора банковского обслуживания №Д-234 от 15.02.2024. Потеряли оригинал при переезде офиса.",Information/Document Request,Low,Client-Oriented
В соответствии с требованиями регулятора направляем запрос на предоставление отчетности по валютным операциям за 2023 год.,Regulatory Request,High,Business Corporate
"Настоящим уведомляем о систематическом нарушении сроков обработки инкассовых поручений. За последний квартал зафиксировано 12 случаев задержек от 3 до 5 рабочих дней, что наносит существенный ущерб нашей деятельности.",Official Complaint or Claim,Medium,Strictly Official
"Уважаемые коллеги, просим предоставить выписки по счету №40802810982622444721 за период с 20.06.2024 по 15.08.2024 для подготовки отчетности. Просим рассмотреть вопрос в приоритетном порядке.",Information/Document Request,Medium,Business Corporate
Необходимо утвердить предоставление овердрафта в размере 77 401 рублей на срок 6 месяцев.,Approval Request,Medium,Client-Oriented
